Date,Beaver,Berks,Centre,Chester,Cumberland,Erie,Fayette,Lehigh,Montgomery,Schuylkill,York
1/23/2020,0,0,0,0,0,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,0,0,0,0,0,0
2/1/2020,0,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0,0
2/4/2020,0,0,0,0,0,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0,0,0,0,0
2/6/2020,0,0,0,0,0,0,0,0,0,0,0
2/7/2020,0,0,0,0,0,0,0,0,0,0,0
2/8/2020,0,0,0,0,0,0,0,0,0,0,0
2/9/2020,0,0,0,0,0,0,0,0,0,0,0
2/10/2020,0,0,0,0,0,0,0,0,0,0,0
2/11/2020,0,0,0,0,0,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0,0,0,0,0,0
2/13/2020,0,0,0,0,0,0,0,0,0,0,0
2/14/2020,0,0,0,0,0,0,0,0,0,0,0
2/15/2020,0,0,0,0,0,0,0,0,0,0,0
2/16/2020,0,0,0,0,0,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0,0,0,0,0,0
2/18/2020,0,0,0,0,0,0,0,0,0,0,0
2/19/2020,0,0,0,0,0,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0,0,0,0,0,0
2/21/2020,0,0,0,0,0,0,0,0,0,0,0
2/22/2020,0,0,0,0,0,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0,0,0,0,0,0
2/24/2020,0,0,0,0,0,0,0,0,0,0,0
2/25/2020,0,0,0,0,0,0,0,0,0,0,0
2/26/2020,0,0,0,0,0,0,0,0,0,0,0
2/27/2020,0,0,0,0,0,0,0,0,0,0,0
2/28/2020,0,0,0,0,0,0,0,0,0,0,0
2/29/2020,0,0,0,0,0,0,0,0,0,0,0
3/1/2020,0,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0,0
3/4/2020,0,0,0,0,0,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0,0,0,0,0,0
3/6/2020,0,0,0,0,0,0,0,0,0,0,0
3/7/2020,0,0,0,0,0,0,0,0,0,0,0
3/8/2020,0,0,0,0,0,0,0,0,4,0,0
3/9/2020,0,0,0,0,0,0,0,0,1,0,0
3/10/2020,0,0,0,0,0,0,0,0,3,0,0
3/11/2020,0,0,0,0,0,0,0,0,1,0,0
3/12/2020,0,0,0,0,0,0,0,0,4,0,0
3/13/2020,0,0,0,1,3,0,0,0,5,0,0
3/14/2020,0,0,0,1,0,0,0,0,2,0,0
3/15/2020,0,0,0,0,0,0,0,0,0,0,0
3/16/2020,0,0,0,0,2,0,0,1,10,0,0
3/17/2020,1,0,0,4,5,0,0,0,4,0,0
3/18/2020,1,1,0,3,0,1,0,0,8,0,2
3/19/2020,0,0,0,1,1,0,0,0,13,0,0
3/20/2020,1,4,1,7,0,0,0,1,13,0,4
3/21/2020,0,2,0,2,0,0,0,11,9,0,3
3/22/2020,0,6,0,4,0,1,1,6,33,1,1
3/23/2020,0,1,2,17,1,1,0,6,26,2,0
3/24/2020,0,2,4,0,1,2,1,2,23,2,8
3/25/2020,4,4,1,14,0,0,2,11,60,2,2
3/26/2020,6,16,1,30,2,0,4,25,94,2,1
3/27/2020,1,29,2,23,1,2,1,30,61,4,9
3/28/2020,8,0,4,9,6,0,1,16,37,3,7
3/29/2020,6,3,7,21,0,0,0,42,77,5,6
3/30/2020,16,14,2,9,2,6,1,80,52,9,11
3/31/2020,8,28,2,13,12,1,3,41,30,8,12
4/1/2020,2,41,1,24,2,1,0,102,79,9,13
4/2/2020,1,17,1,27,3,2,1,105,86,7,23
4/3/2020,10,33,4,16,4,0,5,105,140,9,19
4/4/2020,4,34,7,24,9,2,3,220,107,14,23
4/5/2020,15,41,4,19,4,0,4,73,129,13,27
4/6/2020,12,50,1,38,10,8,2,129,119,13,18
4/7/2020,20,43,11,28,9,2,3,140,129,16,29
4/8/2020,12,47,2,38,7,0,3,173,162,17,15
4/9/2020,1,200,2,52,4,3,10,147,172,13,17
4/10/2020,10,104,2,60,8,4,4,96,196,15,33
4/11/2020,4,210,8,47,9,3,1,58,164,15,10
4/12/2020,2,105,1,30,5,0,4,64,111,9,14
4/13/2020,8,115,0,31,12,0,3,63,121,4,24
4/14/2020,3,97,0,43,2,2,1,56,69,8,40
4/15/2020,2,88,2,39,7,1,0,119,121,12,10
4/16/2020,10,84,1,47,6,4,2,77,69,24,12
4/17/2020,10,118,0,17,17,2,6,93,140,8,50
4/18/2020,100,211,0,57,22,10,0,49,97,10,20
4/19/2020,10,150,0,81,6,0,0,62,132,7,18
4/20/2020,10,47,0,38,4,2,1,42,127,6,12
4/21/2020,5,43,4,28,8,0,2,50,114,10,24
4/22/2020,14,81,0,7,13,2,1,79,140,6,14
4/23/2020,2,143,-1,39,22,6,1,44,101,7,15
4/24/2020,18,127,1,75,11,4,4,60,130,10,17
4/25/2020,22,67,4,70,10,7,4,73,102,11,15
4/26/2020,7,85,0,43,17,-2,0,50,106,10,15
4/27/2020,21,35,6,37,15,5,0,35,84,3,13
4/28/2020,1,79,6,42,14,4,0,49,226,6,8
4/29/2020,4,32,2,48,28,1,1,34,134,13,10
4/30/2020,13,61,1,71,19,0,0,77,130,25,17
5/1/2020,21,50,0,57,6,0,1,54,99,7,10
5/2/2020,9,62,0,37,16,3,1,46,81,9,13
5/3/2020,0,76,6,33,8,1,1,28,65,11,15
5/4/2020,23,62,3,58,2,0,0,39,93,3,23
5/5/2020,8,56,1,41,7,2,1,36,42,7,14
5/6/2020,5,44,7,35,4,2,0,64,140,14,6
5/7/2020,1,47,3,37,17,6,0,39,88,3,18
5/8/2020,7,95,1,55,11,12,0,38,122,8,13
5/9/2020,3,67,0,46,11,7,1,29,79,7,14
5/10/2020,9,114,2,91,9,4,0,72,144,14,6
5/11/2020,0,46,0,19,17,-1,0,18,32,2,11
5/12/2020,2,36,3,45,10,1,0,27,150,6,9
5/13/2020,16,32,4,26,2,1,0,32,71,19,10
5/14/2020,3,45,2,53,14,2,2,60,70,12,14
5/15/2020,4,63,1,52,15,2,0,18,114,16,11
5/16/2020,2,50,0,40,23,5,1,44,100,6,7
5/17/2020,-1,34,2,18,7,3,1,30,75,13,16
5/18/2020,16,42,2,35,3,8,2,21,140,4,6
5/19/2020,1,16,-1,46,15,2,1,22,51,5,9
5/20/2020,5,28,1,18,5,16,1,37,91,7,6
5/21/2020,0,21,3,50,20,14,0,36,114,7,11
5/22/2020,11,54,2,53,7,13,0,27,98,12,12
5/23/2020,2,7,5,44,12,20,1,15,98,16,9
