Campus,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020
Beaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,6,1,8,6,16,8,2,1,10,4,15,12,20,12,1,10,4,2,8,3,2,10,10,100,10,10,5,14,2,18,22,7,21,1,4,13,21,9,0,23,8,5,1,7,3,9,0,2,16,3,4,2,-1,16,1,5,0,11,2,2,14,2,0,9,3,7,1,0,1,3,5,-1,0,5,0,5,2,0,1,0,0,2,0,2,1,3,2,3,1,5,4,3,1,4,6,3,18,9,10,18,14,17,5,28,15,11,13,14,14,8,25,14,9,25,31,9,10,43,35,7,31,17,15,11,37,12,13,23,7,13,5,24,8,11,14,18,4,10,6,19,23,8,19,6,3,13,14,10,38,11,5,3,11,11,6,41,24,6,8,7,12,23,41,8,4,4,4,8,9,26,10,5,11,13,8,10,6,14,2,2,1,6,11,16,6,8,15,4,19,16,13,0,18,2,20,2,12,15,6,11,10,22,13,18,15,17,14,4,10,2,43,7,22,5,5,9,15,13,19,23,18,22,15,35,23,13,37,15,6,41,87,59,58,28,62,21,51,96,90,52,89,65,58,75,120,98,126,101,105,33,103,91,204,132,289
Berks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,6,1,2,4,16,29,0,3,14,28,41,17,33,34,41,50,43,47,200,104,210,105,115,97,88,84,118,211,150,47,43,81,143,127,67,85,35,79,32,61,50,62,76,62,56,44,47,95,67,114,46,36,32,45,63,50,34,42,16,28,21,54,7,40,18,16,33,21,15,14,59,13,33,25,20,15,17,17,17,18,15,11,19,22,16,5,17,9,9,15,14,19,12,25,9,8,13,13,11,23,6,32,4,6,2,7,3,25,17,24,16,17,12,8,10,34,19,18,17,23,24,20,24,30,58,31,9,27,36,20,25,27,16,22,28,30,19,35,19,32,29,25,24,39,21,38,34,26,12,44,38,22,38,38,33,33,42,27,26,38,32,29,15,39,34,45,40,47,22,29,32,50,18,30,79,23,43,54,59,41,32,28,32,29,41,36,24,16,43,47,22,50,45,29,43,0,93,27,42,69,75,87,75,55,38,82,60,74,67,110,81,84,81,75,99,66,117,109,100,131,135,98,93,81,86,87,125,112,86,107,113,77,92,148,172,132,137,155,168,159,191,179,194,133,164,158,203,169,139,299,172,175,180,82,109,282,463,326,378
Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,1,1,2,4,7,2,2,1,1,4,7,4,1,11,2,2,2,8,1,0,0,2,1,0,0,0,0,4,0,-1,1,4,0,6,6,2,1,0,0,6,3,1,7,3,1,0,2,0,3,4,2,1,0,2,2,-1,1,3,2,5,3,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,7,2,2,2,6,-5,0,4,4,0,4,11,1,1,1,2,1,0,0,4,6,7,6,3,1,2,2,3,4,2,2,8,2,9,0,8,7,2,9,6,5,5,2,7,43,1,8,5,-17,4,-3,3,1,1,2,3,4,2,2,0,1,4,3,6,5,1,1,6,7,1,3,5,2,6,4,2,4,9,20,7,17,5,47,40,37,37,9,13,12,184,55,137,73,40,62,212,59,92,30,97,72,37,195,47,124,29,162,88,70,116,43,45,99,0,170,20,127,26,94,31,81,22,90,30,19,50,36,37,12,20,25,34,71,59,81,47,34,27,41,46,42,46,20,25,39,10,55,79,105,15,59,34,55,89,131,56,78,56,62,89,82,91,80,136,47,110,93,77,97,154,61,30,11,75,65,119,96
Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,3,1,7,2,4,17,0,14,30,23,9,21,9,13,24,27,16,24,19,38,28,38,52,60,47,30,31,43,39,47,17,57,81,38,28,7,39,75,70,43,37,42,48,71,57,37,33,58,41,35,37,55,46,91,19,45,26,53,52,40,18,35,46,18,50,53,44,26,38,26,50,51,52,62,60,55,39,40,39,57,55,39,49,32,27,28,58,22,26,20,28,24,30,40,20,29,27,24,22,19,29,32,19,19,34,20,20,30,19,31,8,24,29,26,36,38,20,4,37,55,21,67,49,50,31,96,37,58,63,0,0,129,71,16,40,49,0,0,80,49,26,35,27,0,0,55,37,40,30,29,0,0,54,15,55,10,12,0,0,66,22,15,19,43,0,0,74,41,29,0,73,0,0,0,209,59,60,38,0,30,77,63,44,61,48,0,0,123,27,41,40,36,0,0,0,143,38,44,38,0,0,95,20,47,41,42,0,0,117,54,35,43,41,0,0,81,45,29,45,58,0,0,153,53,54,70,35,0,0,163,0,145,75,88,0,0,259,112,0,239,148,0,0,446,126,142,210,154,0,0,483,132,143,0,448,0,0,399,153,0,578,407,0
Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,0,1,0,0,0,1,1,0,2,1,6,0,2,12,2,3,4,9,4,10,9,7,4,8,9,5,12,2,7,6,17,22,6,4,8,13,22,11,10,17,15,14,28,19,6,16,8,2,7,4,17,11,11,9,17,10,2,14,15,23,7,3,15,5,20,7,12,8,6,4,9,7,3,5,3,6,9,10,3,2,6,4,3,11,5,4,17,16,3,10,8,5,7,10,6,12,6,9,8,16,5,3,7,7,5,4,10,5,10,9,4,8,10,10,8,5,12,4,10,21,3,10,13,8,8,22,12,8,24,16,13,23,23,15,9,14,16,6,5,9,20,11,6,6,4,14,11,16,12,14,9,7,4,7,14,16,14,13,8,13,11,3,15,9,20,7,10,13,7,10,15,18,6,6,11,15,4,11,12,12,12,11,5,15,23,13,8,4,11,8,18,13,29,16,18,13,18,10,27,0,25,8,13,13,17,28,21,11,23,15,39,16,21,21,19,19,95,12,24,6,-34,19,20,42,29,33,26,28,12,25,36,37,29,52,62,60,68,78,106,67,113,85,95,55,113,174,112,84,116,201,50,112,89,137,109,147,111,83,68,181,304,248,255
Erie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,2,0,0,6,1,1,2,0,2,0,8,2,0,3,4,3,0,0,2,1,4,2,10,0,2,0,2,6,4,7,-2,5,4,1,0,0,3,1,0,2,2,6,12,7,4,-1,1,1,2,2,5,3,8,2,16,14,13,20,-1,8,6,12,7,11,21,5,16,12,7,13,5,31,4,11,18,12,19,12,12,8,9,4,6,19,18,9,8,3,7,9,8,13,10,7,6,12,13,6,16,4,4,11,18,12,8,5,3,5,6,22,7,9,7,6,12,6,18,8,5,20,9,9,9,6,20,14,18,31,13,16,42,12,9,12,36,8,8,16,17,20,19,18,11,6,12,16,19,7,12,13,1,8,8,8,14,10,3,1,9,11,1,6,11,3,3,2,13,-1,4,10,1,1,12,4,7,13,7,9,8,8,13,10,12,11,7,8,11,4,12,24,0,40,13,17,21,13,23,29,19,7,24,17,9,9,13,9,13,20,13,14,36,19,13,19,41,33,41,53,42,38,41,50,33,49,59,49,54,79,72,99,124,108,149,135,101,167,134,135,197,172,114,106,106,115,242,150,146,113,106,154,178,255,222,235
Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,1,0,1,3,0,1,5,3,4,2,3,3,10,4,1,4,3,1,0,2,6,0,0,1,2,1,1,4,4,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,2,0,1,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,3,2,3,0,1,0,0,0,0,2,4,1,1,4,1,10,5,3,5,7,2,11,3,15,16,2,6,11,7,3,12,20,7,10,7,9,6,7,6,4,3,22,16,11,24,16,5,6,9,8,34,7,13,9,7,61,20,13,14,4,11,4,3,8,5,9,3,2,3,2,2,9,7,2,6,3,2,5,4,2,3,3,4,-1,8,6,5,7,3,4,3,5,4,4,3,4,3,2,3,5,5,6,5,4,6,3,3,7,0,6,3,14,4,1,5,4,7,3,14,3,13,12,6,10,3,6,9,12,17,14,5,9,4,13,16,16,10,13,9,14,27,20,10,14,19,7,20,33,16,29,29,31,42,34,74,45,49,47,33,41,79,72,82,64,87,80,50,68,77,88,103,229
Lehigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,6,6,2,11,25,30,16,42,80,41,102,105,105,220,73,129,140,173,147,96,58,64,63,56,119,77,93,49,62,42,50,79,44,60,73,50,35,49,34,77,54,46,28,39,36,64,39,38,29,72,18,27,32,60,18,44,30,21,22,37,36,27,15,23,16,9,23,20,19,9,18,5,10,22,15,12,17,12,13,19,5,12,19,13,14,4,16,5,19,27,48,13,6,18,21,34,23,18,9,6,15,23,22,12,11,8,6,17,20,16,21,33,6,9,11,15,30,24,22,5,18,21,15,9,15,43,21,15,30,42,20,15,18,21,4,18,16,14,17,16,34,7,17,30,14,11,12,11,3,12,8,10,9,7,9,4,3,4,13,13,19,12,8,8,11,21,5,23,21,15,-1,22,0,19,18,16,11,16,19,23,13,5,15,10,11,25,21,17,29,26,14,32,19,16,27,0,39,11,24,45,25,26,40,35,5,18,24,30,25,31,20,20,17,35,61,56,58,35,85,45,52,50,55,113,52,81,83,60,93,110,149,105,113,118,190,202,165,134,171,88,106,139,213,270,241,218,147,163,181,263,315,298,133,100,67,289,202,484,376
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,4,5,2,0,10,4,8,13,13,9,33,26,23,60,94,61,37,77,52,30,79,86,140,107,129,119,129,162,172,196,164,111,121,69,121,69,140,97,132,127,114,140,101,130,102,106,84,226,134,130,99,81,65,93,42,140,88,122,79,144,32,150,71,70,114,100,75,140,51,91,114,98,98,61,51,22,140,73,95,100,55,32,79,70,109,65,126,40,28,62,37,45,80,31,33,32,20,40,24,32,30,27,20,36,29,56,57,50,26,36,35,35,31,48,27,21,24,48,36,31,41,38,28,20,31,65,27,61,31,57,34,40,60,29,74,59,48,63,66,52,50,38,52,22,35,38,44,31,32,62,44,28,38,32,45,43,54,44,28,46,44,45,39,60,46,42,29,34,53,41,35,49,39,58,33,63,48,63,46,46,42,41,35,27,41,19,60,53,28,62,55,42,35,30,30,36,31,25,60,36,29,49,27,40,72,0,102,18,26,48,54,58,71,36,31,56,48,54,51,64,31,31,52,42,76,82,95,71,101,96,94,123,149,144,120,77,131,137,135,217,193,156,193,197,258,340,318,278,395,185,261,263,361,345,352,344,294,259,267,389,305,350,308,296,203,390,689,609,579
Schuylkill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,3,5,9,8,9,7,9,14,13,13,16,17,13,15,15,9,4,8,12,24,8,10,7,6,10,6,7,10,11,10,3,6,13,25,7,9,11,3,7,14,3,8,7,14,2,6,19,12,16,6,13,4,5,7,7,12,16,9,7,8,1,5,10,7,8,0,12,3,5,2,3,0,1,2,5,4,9,4,4,6,5,2,4,1,10,1,1,4,2,9,6,3,1,1,0,6,3,3,1,0,1,4,2,4,4,4,3,0,3,3,10,3,18,5,6,2,2,2,5,8,5,1,11,7,8,5,5,7,4,4,5,2,1,1,7,3,3,6,2,8,4,5,3,2,5,5,1,7,1,0,4,1,4,3,5,-3,2,5,4,-1,2,10,2,6,4,4,0,3,3,4,6,5,2,5,3,4,3,4,3,8,18,7,21,21,17,15,13,16,20,0,34,19,20,11,12,22,37,19,18,20,21,38,16,34,48,39,24,26,50,37,78,35,43,50,40,57,38,42,36,42,37,40,29,30,55,31,54,83,54,54,65,65,71,57,96,70,54,65,91,79,64,77,158,85,106,114,77,35,42,85,92,142,154
